column00,testGroup,device,browser,browserVersion,userAgent,users,newUsers,sessions,pis,acceleratedPis,addToCartEvents,creditcardPaymentEvent,paypalPaymentEvent,applepayPaymentEvent,conversions
0,Control,Robot,Chrome,92.0.4512.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4512.0 Safari/537.36",315,314,315,315,0,0,0,0,0,0
1,Control,Mobile,Chrome iOS,117.0.5938.117,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/117.0.5938.117 Mobile/15E148 Safari/604.1",6170,4050,8184,16130,1,636,57,26,30,117
2,Control,Tablet,Chrome,117,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",1312,759,1538,3730,13,147,14,8,0,25
3,SpeedKit,Robot,Chrome,86.0.4240.75,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",937,937,937,1043,47,0,0,0,0,0
4,SpeedKit,Mobile,Chrome,104,"Mozilla/5.0 (Linux; Android 13; I2127) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Mobile Safari/537.36",6,4,6,15,4,0,0,0,0,0
5,SpeedKit,Mobile,Chrome,91.0.4472.88,"Mozilla/5.0 (Linux; U; Android 12; en-in; CPH2035 Build/SP1A.210812.016) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.88 Mobile Safari/537.36 HeyTapBrowser/45.9.5.9.1",1,1,2,4,2,0,0,0,0,0
6,SpeedKit,Desktop,Safari,13.1.2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",196,136,211,549,121,25,0,0,0,0
7,Control,Desktop,Chrome,113,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36",166,159,172,192,0,1,0,0,0,0
8,SpeedKit,Robot,Chrome,114,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",545,540,546,551,3,2,0,0,0,0
9,SpeedKit,Robot,Chrome,72.0.3626.121,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36",739,739,739,830,43,0,0,0,0,0
